ID,Group,Go_Pre,NoGo_Pre,Go_Post,NoGo_Post
sports_01,swim,0.8883688,-1.904823,1.125444,-1.274173
sports_02,swim,1.878694,-4.493821,2.722828,-5.374754
sports_03,swim,1.39666,-4.79222,1.838114,-5.823434
sports_05,swim,2.155727,-4.353881,,
sports_06,swim,,,1.02617,-1.688668
sports_07,swim,-0.4590095,-3.2735,0.2905856,-2.170491
sports_08,swim,-0.3995391,-2.311805,0.4259063,-2.545978
sports_09,swim,0.7314014,-5.39376,1.495485,4.708399
sports_10,swim,-0.1891964,-5.48876,0.9014469,-5.280323
sports_11,swim,0.1329377,-6.782914,-0.1967942,-9.352929
sports_12,swim,0.3618825,0.6603929,-0.4893678,-1.307534
sports_13,swim,3.109321,-3.15756,2.587705,-3.971755
sports_14,swim,-0.1301831,-2.066887,,
sports_15,swim,1.687992,2.165641,1.186678,-0.465303
sports_17,swim,2.255697,-4.848108,-0.2430147,-0.3565942
sports_18,swim,0.4447011,-2.778491,-0.7763908,-4.156356
sports_20,bike,7.847931,-4.009597,6.883418,-2.502897
sports_21,sit,0.3725273,-4.729864,,
sports_22,sit,1.216957,-5.17798,0.2423939,-7.142249
sports_23,sit,-1.06794,-4.147812,-1.427378,-3.427193
sports_25,swim,0.4555479,-1.049104,0.397644,0.2566001
sports_26,bike,-1.088352,-3.535679,-1.690601,-5.063513
sports_27,sit,3.65631,-4.476552,3.050116,-4.266169
sports_28,bike,,,-2.217253,2.888985
sports_30,sit,-1.565933,2.433026,-0.9517339,0.5375497
sports_31,bike,1.107405,-4.045261,0.871804,-4.21771
sports_32,sit,,,-1.025668,-7.338393
sports_33,sit,4.857132,-3.802559,4.200202,-4.36583
sports_34,bike,4.607512,-1.481309,2.671928,-2.37692
sports_35,bike,,,4.977582,-3.651819
sports_36,bike,2.291727,-2.344052,2.822284,-0.5078861
sports_37,bike,7.767103,0.438255,5.944224,1.780871
sports_39,sit,-0.2779222,0.5931162,-1.674825,0.0217638
sports_40,bike,2.886208,-0.9248208,2.771058,1.282191
sports_41,bike,3.751813,-6.293644,4.800076,-7.498825
sports_42,bike,3.310028,3.20302,,
sports_43,bike,3.298732,3.007305,2.660496,1.029089
sports_44,bike,1.404129,1.289795,0.6659052,-4.068331
sports_45,bike,2.833251,0.467305,1.692934,0.706759
sports_46,bike,1.532257,-1.180022,-0.1844638,-2.264898
sports_47,bike,3.449397,-3.29128,0.3334865,-2.607319
sports_48,bike,1.965363,-1.003285,-0.07336704,-2.711127
sports_49,bike,3.206278,-0.7590312,1.379382,-0.1440797
sports_50,sit,1.209137,-1.564364,0.4685031,-2.939776
sports_51,sit,0.658025,-2.863968,1.447438,-2.3121
sports_52,sit,-0.7354426,-6.627149,-1.568769,-5.489914
sports_54,sit,3.996558,-2.17603,2.362583,-1.981299
sports_55,sit,3.449948,-2.851274,3.44992,-1.616337
sports_56,sit,-1.16428,1.443212,0.1320783,-0.2771853
sports_57,sit,3.915437,-2.207805,2.321298,-1.431803
sports_58,sit,7.723634,-1.616136,6.278085,-3.130022
sports_59,sit,1.843844,-6.340268,0.5816824,-6.378593
sports_61,sit,1.225796,-3.610739,0.1485933,-5.700219
sports_62,sit,5.271555,-4.202715,4.077706,-3.102618
sports_63,sit,3.724031,2.531573,2.902982,-0.01456004
sports_64,sit,0.5391381,-3.11133,-0.7409247,-4.523242
sports_65,sit,1.247778,-4.511265,-1.312385,-2.824052
sports_66,sit,3.510301,-6.84585,1.798845,-5.145568
sports_67,sit,1.812727,-2.035833,1.053933,-4.183251
sports_68,sit,1.975296,1.010925,2.025108,1.938288
sports_69,bike,2.529926,-2.919093,2.021742,-3.687542
sports_70,bike,0.8032565,-2.671432,-1.297715,-0.9296544
sports_71,sit,-0.9145893,-8.924513,-1.920296,-6.042771
sports_72,bike,1.404912,-2.381057,0.9432676,-4.629557
sports_73,sit,,,-2.167059,-1.818812
sports_74,bike,2.931639,-0.6924577,2.100877,0.3307646
sports_75,sit,4.269414,4.610038,7.068521,2.565527
sports_76,sit,2.422069,-6.256987,0.3957128,-8.786303
sports_77,bike,3.115928,-2.871029,3.124194,0.4460042
sports_78,bike,2.535622,1.490032,0.9044358,2.275978
sports_79,bike,-1.171828,-7.352221,-1.63111,-5.36923
sports_80,sit,-0.1493151,-6.688872,0.126194,-8.133319
sports_81,bike,1.286454,-0.3995757,-0.2933422,-0.4724855
sports_82,bike,2.624518,-1.739879,3.032661,-1.223522
sports_83,bike,3.204239,-1.585958,2.508993,-1.506513
sports_84,bike,0.2105936,1.149891,0.3457692,-0.7380685
sports_85,sit,2.291469,-4.901509,0.9291655,-3.532853
sports_86,bike,2.059862,-10.25379,-0.1167627,-7.451856
sports_87,bike,2.419705,-4.576998,1.763565,-2.431728
sports_88,bike,-0.1451358,-6.808048,-0.7593438,-5.11448
sports_89,bike,6.754138,-3.316054,,
sports_90,swim,2.031612,-4.253356,0.5201997,-3.540133
sports_91,swim,2.139931,-5.194351,3.129905,-4.933455
sports_92,swim,0.7301819,-5.107,3.249849,-5.499289
sports_93,swim,-0.2655226,-5.130458,-1.328022,-4.114475
sports_94,swim,-0.2179154,-7.302453,,
sports_95,swim,-0.8140363,1.112596,-1.070407,0.5643144
sports_96,swim,0.4225937,0.05060054,,
sports_97,swim,3.66184,-4.186728,2.466399,-3.89622
sports_98,swim,-0.6846015,0.9291378,-0.2761175,0.2162067
