ID,Group,Hit_Pre,Miss_Pre,Hit_Post,Miss_Post
sports_01,swim,0.1870394,-0.5381967,-0.4023381,-0.6139876
sports_02,swim,1.394244,0.7515116,1.407568,1.229342
sports_03,swim,2.921134,1.217757,1.869792,2.105463
sports_05,swim,1.258415,2.093136,,
sports_06,swim,,,2.230102,0.9966234
sports_07,swim,-0.6598197,-0.7004823,0.4564007,-0.3634176
sports_08,swim,0.4535134,-0.005555286,-0.9069949,-0.1336627
sports_09,swim,0.4183891,0.5676465,3.92466,-0.6719037
sports_10,swim,-0.7945987,-0.3174433,1.176446,0.312336
sports_11,swim,-0.3774813,-1.307548,-0.2749983,-0.6278916
sports_12,swim,1.164244,0.8684382,0.3354609,0.04993355
sports_13,swim,1.745522,1.136858,-1.11481,1.337748
sports_14,swim,-0.6455846,-0.2294615,,
sports_15,swim,-0.2454707,1.018128,1.749945,0.5386557
sports_17,swim,0.524062,-0.09210139,0.6242356,0.0161528
sports_18,swim,1.418048,-0.02719159,-0.6638744,0.212796
sports_20,bike,4.553641,-0.8232872,1.487595,-0.4735305
sports_21,sit,0.002906053,-0.5575219,,
sports_22,sit,5.62611,1.804611,2.224649,-1.038888
sports_23,sit,0.6357321,2.063937,2.706343,0.4455706
sports_25,swim,-1.216358,-0.6293592,1.245459,-0.1153739
sports_26,bike,-0.3984488,-0.132861,-1.232409,0.7656521
sports_27,sit,4.732494,4.438731,2.918956,3.857051
sports_28,bike,,,1.763939,1.712503
sports_30,sit,-0.68031,0.1486926,-0.7498409,0.4645111
sports_31,bike,1.004045,0.8240877,1.292634,1.240918
sports_32,sit,,,0.4845339,2.337286
sports_33,sit,2.835804,3.024193,2.148237,1.495031
sports_34,bike,-0.3872224,-0.5256302,0.8754425,-0.6706032
sports_35,bike,,,-1.54896,-0.05308709
sports_36,bike,1.515422,-0.02919818,2.120345,1.358318
sports_37,bike,2.156798,1.809355,2.886279,1.868286
sports_39,sit,3.415831,1.015183,4.884016,0.4386019
sports_40,bike,2.147414,1.56458,3.885373,1.156192
sports_41,bike,1.699096,-1.435085,0.6750875,1.138559
sports_42,bike,1.970904,1.854492,,
sports_43,bike,1.356179,0.4853829,4.980121,-0.2195697
sports_44,bike,2.980839,2.838658,2.990571,2.031437
sports_45,bike,3.519672,1.314778,1.572492,3.094922
sports_46,bike,1.218431,1.569075,0.6138322,1.03323
sports_47,bike,-2.394634,-0.8940988,-2.590925,-0.9621438
sports_48,bike,1.278301,2.547554,1.387625,0.8256003
sports_49,bike,6.060516,2.82849,7.018869,3.550336
sports_50,sit,1.509921,1.013026,0.4838376,0.7885593
sports_51,sit,2.030955,-1.126724,1.655199,-1.27843
sports_52,sit,-2.696762,-1.627821,-3.119448,-1.714978
sports_54,sit,1.687352,0.1801927,1.081446,2.282912
sports_55,sit,-0.174183,0.7478565,1.729479,1.753727
sports_56,sit,2.841474,1.301392,0.7170676,0.2298754
sports_57,sit,2.7838,1.173067,0.9098983,1.693335
sports_58,sit,3.400448,2.187928,2.393034,2.096506
sports_59,sit,-1.216826,-0.4898451,0.3328063,-0.3500745
sports_61,sit,-1.557396,0.09084391,-1.780868,-0.9428001
sports_62,sit,1.646326,0.9520853,0.6759573,0.5085201
sports_63,sit,3.330142,4.490243,2.459597,2.470006
sports_64,sit,-0.02390989,-1.559208,1.279162,0.8742676
sports_65,sit,3.274373,3.828659,1.219605,0.991108
sports_66,sit,4.433915,4.167559,6.224212,3.452897
sports_67,sit,4.393046,2.959436,1.17187,0.379255
sports_68,sit,1.044096,0.7961471,-1.654314,-1.171482
sports_69,bike,1.767128,0.9727396,0.6536013,0.9160244
sports_70,bike,0.6663417,0.9584739,1.120323,1.601511
sports_71,sit,-1.568108,-0.8034216,-0.9824202,-2.28787
sports_72,bike,1.710235,1.065562,2.272037,0.8522503
sports_73,sit,,,2.492275,2.139851
sports_74,bike,1.619588,0.1430477,3.514963,0.9734492
sports_75,sit,0.7874075,0.6435707,0.1682411,-0.03918033
sports_76,sit,1.646636,1.314928,1.917989,0.9889984
sports_77,bike,2.492361,0.2208335,3.002916,0.642101
sports_78,bike,-1.535513,-1.53884,1.506757,-0.5653418
sports_79,bike,0.7604008,1.912647,1.488355,1.406457
sports_80,sit,2.394946,0.5599025,5.562222,3.593558
sports_81,bike,-3.093513,0.1381885,-0.5373567,-3.010143
sports_82,bike,-0.5927248,1.056758,1.720505,0.9996752
sports_83,bike,1.561528,1.444039,-1.470937,1.459728
sports_84,bike,1.157594,2.541552,1.811362,1.34822
sports_85,sit,-2.420938,0.06411832,2.348629,0.01897591
sports_86,bike,2.168907,3.610788,1.89142,0.8150396
sports_87,bike,1.780106,1.243876,0.7626557,0.2906389
sports_88,bike,0.6377365,1.073607,0.8698353,1.945912
sports_89,bike,1.036208,0.5309119,,
sports_90,swim,1.460702,1.152102,0.7245998,-0.4684256
sports_91,swim,-1.206221,-0.6887174,-1.006572,-0.2367557
sports_92,swim,0.08688644,-0.724318,0.6361506,0.1112231
sports_93,swim,-0.3101113,-0.2070462,1.260016,-0.07291403
sports_94,swim,4.565432,1.165207,,
sports_95,swim,0.922767,0.9472954,0.1391193,-0.005469021
sports_96,swim,0.2391978,-0.3904266,,
sports_97,swim,3.312364,-0.7845989,0.6995408,-0.4640711
sports_98,swim,4.053013,1.849557,3.152652,1.380081
