ID,Group,Go_Pre,NoGo_Pre,Go_Post,NoGo_Post
sports_01,swim,440,236,440,244
sports_02,swim,404,272,408,256
sports_03,swim,408,276,416,300
sports_05,swim,552,272,NaN,NaN
sports_06,swim,NaN,NaN,440,236
sports_07,swim,528,284,532,300
sports_08,swim,540,276,520,300
sports_09,swim,392,272,336,244
sports_10,swim,336,244,376,244
sports_11,swim,340,300,340,268
sports_12,swim,428,244,420,272
sports_13,swim,360,260,368,280
sports_14,swim,528,300,NaN,NaN
sports_15,swim,400,240,444,248
sports_17,swim,416,300,412,228
sports_18,swim,364,276,420,280
sports_20,bike,372,272,376,268
sports_21,sit,448,300,NaN,NaN
sports_22,sit,588,300,352,288
sports_23,sit,600,288,600,300
sports_25,swim,328,272,324,268
sports_26,bike,468,300,420,280
sports_27,sit,416,256,312,248
sports_28,bike,NaN,NaN,508,220
sports_30,sit,480,220,488,300
sports_31,bike,416,276,444,284
sports_32,sit,NaN,NaN,440,300
sports_33,sit,336,292,348,288
sports_34,bike,384,240,384,248
sports_35,bike,NaN,NaN,468,292
sports_36,bike,536,260,324,260
sports_37,bike,324,264,320,276
sports_39,sit,592,300,444,300
sports_40,bike,320,292,444,300
sports_41,bike,468,292,468,280
sports_42,bike,304,276,NaN,NaN
sports_43,bike,328,260,320,272
sports_44,bike,448,300,564,288
sports_45,bike,428,280,328,276
sports_46,bike,332,300,336,288
sports_47,bike,440,288,444,296
sports_48,bike,356,300,320,300
sports_49,bike,428,300,452,300
sports_50,sit,436,284,472,292
sports_51,sit,536,300,536,296
sports_52,sit,460,300,460,300
sports_54,sit,520,300,376,300
sports_55,sit,592,280,436,280
sports_56,sit,476,300,480,300
sports_57,sit,436,296,452,300
sports_58,sit,412,248,424,276
sports_59,sit,340,268,444,276
sports_61,sit,424,288,432,276
sports_62,sit,416,284,420,264
sports_63,sit,380,300,312,220
sports_64,sit,452,256,468,300
sports_65,sit,448,296,440,300
sports_66,sit,408,256,416,268
sports_67,sit,340,288,348,280
sports_68,sit,440,300,336,292
sports_69,bike,432,256,444,276
sports_70,bike,324,268,600,300
sports_71,sit,440,300,456,292
sports_72,bike,316,292,564,288
sports_73,sit,NaN,NaN,364,300
sports_74,bike,400,300,300,300
sports_75,sit,400,264,404,276
sports_76,sit,356,284,356,292
sports_77,bike,432,288,456,296
sports_78,bike,300,260,300,280
sports_79,bike,408,288,420,296
sports_80,sit,360,300,360,296
sports_81,bike,464,300,592,296
sports_82,bike,432,288,452,288
sports_83,bike,440,300,340,292
sports_84,bike,336,292,324,284
sports_85,sit,560,280,552,288
sports_86,bike,440,280,452,292
sports_87,bike,436,276,600,284
sports_88,bike,520,272,436,264
sports_89,bike,436,300,NaN,NaN
sports_90,swim,432,296,424,288
sports_91,swim,496,300,500,280
sports_92,swim,592,252,440,268
sports_93,swim,388,300,308,240
sports_94,swim,428,292,NaN,NaN
sports_95,swim,444,256,448,252
sports_96,swim,428,300,NaN,NaN
sports_97,swim,384,280,380,280
sports_98,swim,588,248,556,260
