ID	group	P1	N1	P2	P3	N2	P4	N3	N4	N5	P5	P6	N6	P7	N7	P8	N8	P9	P10	N9	N10	tlx-1	tlx-2	tlx-3	tlx-4	tlx-5	strat
sports_01	swim	3.00	1.00	4.00	4.00	1.00	3.00	1.00	1.00	1.00	4.00	3.00	1.00	4.00	1.00	3.00	1.00	5.00	4.00	2.00	1.00	0.00	2.00	1.00	2.00	1.00	99
sports_02	swim	3.00	1.00	4.00	2.00	1.00	3.00	1.00	1.00	1.00	1.00	2.00	1.00	3.00	1.00	4.00	1.00	4.00	3.00	1.00	1.00	4.00	4.00	4.50	4.50	3.00	5
sports_03	swim	4.00	1.00	5.00	3.00	1.00	2.00	1.00	1.00	1.00	2.00	4.00	1.00	4.00	1.00	5.00	1.00	1.00	4.00	2.00	1.00	1.50	6.50	0.50	3.00	1.00	4
sports_04	swim	4.00	1.00	2.00	3.00	1.00	2.00	1.00	1.00	1.00	2.00	3.00	1.00	3.00	1.00	4.00	1.00	3.00	4.00	1.00	1.00	8.50	3.00	1.50	3.00	3.00	1
sports_05	swim	4.00	1.00	3.00	4.00	1.00	3.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	1.00	3.00	2.00	3.00	3.00	1.00	1.00	1.50	3.50	2.50	3.50	0.50	2.00
sports_06	swim	4.00	1.00	4.00	4.00	1.00	2.00	1.00	1.00	1.00	5.00	2.00	1.00	3.00	1.00	5.00	1.00	3.00	4.00	1.00	1.00	0.00	6.50	2.50	6.00	1.50	2.00
sports_07	swim	3.00	1.00	4.00	3.00	1.00	3.00	1.00	1.00	1.00	2.00	3.00	1.00	4.00	1.00	5.00	1.00	5.00	5.00	1.00	1.00	0.50	1.50	5.00	0.50	0.50	99.00
sports_08	swim	2.00	1.00	1.00	2.00	1.00	3.00	1.00	1.00	1.00	3.00	4.00	1.00	2.00	1.00	2.00	1.00	1.00	2.00	1.00	1.00	0.50	4.50	4.50	4.50	0.50	2.00
sports_09	swim	5.00	2.00	5.00	5.00	1.00	4.00	1.00	1.00	1.00	4.00	5.00	5.00	5.00	1.00	5.00	3.00	5.00	5.00	2.00	1.00	1.00	4.50	0.50	4.00	0.00	99.00
sports_10	swim	3.00	1.00	5.00	4.00	1.00	2.00	1.00	1.00	1.00	3.00	4.00	2.00	3.00	1.00	3.00	1.00	2.00	3.00	1.00	1.00	9.50	5.00	5.00	7.50	2.00	2.00
sports_11	swim	2.00	1.00	3.00	3.00	1.00	2.00	1.00	1.00	1.00	3.00	1.00	2.00	2.00	1.00	3.00	2.00	3.00	3.00	2.00	1.00	0.50	1.50	2.00	1.50	3.50	2.00
sports_12	swim	4.00	2.00	4.00	3.00	1.00	3.00	1.00	1.00	1.00	3.00	3.00	1.00	3.00	2.00	5.00	2.00	3.00	4.00	2.00	2.00	1.50	7.00	2.00	7.00	2.00	2.00
sports_13	swim	3.00	1.00	2.00	2.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	4.00	1.00	3.00	2.00	1.00	1.00	0.00	3.00	0.00	1.50	10.00	2.00
sports_14	swim	3.00	1.00	2.00	3.00	1.00	2.00	1.00	1.00	1.00	4.00	3.00	1.00	3.00	1.00	4.00	2.00	3.00	3.00	1.00	1.00	1.00	4.00	1.00			99.00
sports_15	swim	3.00	1.00	2.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	4.00	3.00	1.00	2.00	3.00	6.00	6.00	3.00	1.50	2.00
sports_16	swim	3.00	1.00	4.00	2.00	1.00	2.00	1.00	1.00	1.00	3.00	2.00	1.00	3.00	1.00	4.00	1.00	2.00	4.00	1.00	1.00	8.50	5.50	7.00	4.50	3.50	99.00
sports_17	swim	2.00	1.00	3.00	2.00	1.00	2.00	1.00	1.00	1.00	3.00	1.00	2.00	2.00	1.00	3.00	1.00	3.00	3.00	1.00	1.00	2.00	1.00	6.00	1.50	7.00	99.00
sports_18	swim	4.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	1.00	4.00	3.00	1.00	2.00	1.00	5.00	2.00	4.00	3.00	1.00	1.00	2.50	7.00	5.00	4.00	3.00	2
sports_20	bike	4.00	3.00	3.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	4.00	2.00	3.00	3.00	2.00	2.00	6.00	5.00	5.00	1.00	6.00	2.00
sports_21	sit	1.00	1.00	3.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	4.00	1.00	1.00	3.00	1.00	1.00	6.00	1.00	7.00	5.00	2.00	2.00
sports_22	sit	1.00	1.00	4.00	4.00	1.00	1.00	1.00	1.00	1.00	3.00	2.00	1.00	4.00	1.00	4.00	1.00	2.00	4.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	2.00
sports_23	sit	1.00	1.00	4.00	3.00	1.00	3.00	1.00	1.00	1.00	3.00	3.00	2.00	1.00	1.00	3.00	2.00	3.00	3.00	1.00	1.00	4.00	0.50	0.00	1.00	1.00	2.00
sports_24	bike	4.00	1.00	4.00	4.00	1.00	3.00	1.00	1.00	1.00	3.00	4.00	2.00	4.00	1.00	5.00	1.00	4.00	5.00	1.00	1.00	2.00	5.00	1.00	4.00	0.00	1.00
sports_25	swim	4.00	1.00	4.00	4.00	1.00	3.00	1.00	1.00	1.00	4.00	3.00	1.00	4.00	1.00	5.00	3.00	3.00	4.00	1.00	1.00	1.00	5.00	1.00	5.00	1.00	5.00
sports_26	bike	4.00	1.00	4.00	3.00	1.00	3.00	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.00	5.00	1.00	3.00	4.00	1.00	1.00	0.00	7.00	0.00	3.00	0.00	2.00
sports_27	sit	2.00	1.00	4.00	3.00	1.00	2.00	1.00	1.00	1.00	4.00	1.00	1.00	4.00	1.00	4.00	2.00	3.00	4.00	1.00	1.00	0.00	0.00	2.00	0.50	0.50	2.00
sports_28	bike	4.00	1.00	4.00	5.00	1.00	3.00	1.00	1.00	1.00	1.00	2.00	1.00	3.00	1.00	4.00	1.00	1.00	2.00	2.00	1.00	0.00	6.50	1.50	5.00	1.00	99.00
sports_29	sit	1.00	1.00	3.00	2.00	1.00	1.00	2.00	1.00	1.00	2.00	2.00	1.00	2.00	1.00	2.00	1.00	2.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	2.00
sports_30	sit	2.00	2.00	4.00	3.00	1.00	2.00	1.00	1.00	1.00	4.00	3.00	2.00	4.00	1.00	3.00	2.00	3.00	4.00	1.00	2.00	1.00	0.00	2.00	0.00	0.00	99.00
sports_31	bike	4.00	2.00	4.00	3.00	1.00	3.00	2.00	1.00	1.00	3.00	3.00	1.00	4.00	2.00	4.00	1.00	3.00	3.00	1.00	2.00	0.00	8.00	3.50	7.00	5.00	2.00
sports_32	sit	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	0.50	0.00	0.00	0.00	5.00	99.00
sports_33	sit	3.00	1.00	4.00	2.00	1.00	1.00	1.00	1.00	1.00	3.00	1.00	1.00	2.00	1.00	5.00	1.00	3.00	4.00	1.00	1.00	7.00	3.00	5.00	5.00	5.50	2.00
sports_34	bike	4.00	3.00	3.00	3.00	1.00	3.00	1.00	1.00	1.00	3.00	2.00	1.00	3.00	1.00	5.00	2.00	3.00	4.00	1.00	1.00	7.00	5.00	2.00	5.00	0.50	99.00
sports_35	bike	4.00	2.00	2.00	3.00	2.00	4.00	1.00	1.00	1.00	2.00	3.00	2.00	2.00	1.00	4.00	2.00	2.00	3.00	2.00	1.00	2.00	6.00	0.00	5.00	3.00	2.00
sports_36	bike	3.00	1.00	3.00	3.00	1.00	3.00	1.00	1.00	1.00	3.00	3.00	1.00	3.00	1.00	4.00	2.00	4.00	4.00	2.00	1.00	1.00	4.00	3.50	3.00	2.00	2.00
sports_37	bike	4.00	1.00	5.00	3.00	1.00	3.00	1.00	1.00	1.00	2.00	3.00	1.00	3.00	2.00	5.00	1.00	4.00	4.00	1.00	1.00	1.00	7.00	3.00	4.00	1.50	99.00
sports_38	sit	3.00	1.00	3.00	5.00	1.00	3.00	1.00	1.00	1.00	4.00	2.00	1.00	4.00	1.00	3.00	2.00	2.00	4.00	1.00	1.00	2.00	1.00	0.00	2.00	2.00	2.00
sports_39	sit	2.00	1.00	3.00	4.00	1.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	2.00	1.00	4.00	1.00	4.00	3.00	1.00	1.00	0.50	0.00	0.50	0.50	0.50	
sports_40	bike	3.00	1.00	4.00	4.00	1.00	2.00	1.00	1.00	1.00	2.00	2.00	1.00	3.00	1.00	3.00	1.00	3.00	4.00	1.00	1.00	0.00	4.00	1.50	6.50	0.00	2.00
sports_41	bike	4.00	2.00	3.00	2.00	1.00	3.00	1.00	1.00	1.00	3.00	2.00	1.00	2.00	1.00	4.00	2.00	4.00	5.00	1.00	2.00	0.00	7.00	1.50	8.00	1.00	2.00
sports_42	bike	4.00	1.00	3.00	4.00	1.00	3.00	1.00	1.00	1.00	4.00	2.00	3.00	3.00	1.00	3.00	2.00	3.00	3.00	3.00	1.00	6.00	7.50	2.50	6.50	2.00	99.00
sports_43	bike	4.00	2.00	3.00	5.00	1.00	3.00	1.00	1.00	1.00	4.00	3.00	1.00	3.00	2.00	5.00	1.00	3.00	4.00	1.00	1.00	7.00	6.00	5.00	7.00	2.00	99.00
sports_44	bike	4.00	1.00	5.00	4.00	1.00	3.00	1.00	1.00	1.00	3.00	3.00	1.00	4.00	1.00	4.00	2.00	4.00	4.00	1.00	1.00	0.50	3.00	1.00	1.00	0.00	2.00
sports_45	bike	5.00	1.00	3.00	2.00	1.00	3.00	1.00	1.00	1.00	1.00	4.00	3.00	2.00	1.00	5.00	1.00	3.00	4.00	1.00	1.00	0.50	7.50	1.50	7.50	2.50	2.00
sports_46	bike	4.00	1.00	3.00	3.00	1.00	3.00	2.00	1.00	1.00	3.00	4.00	1.00	3.00	2.00	3.00	2.00	2.00	3.00	1.00	1.00	2.00	7.00	4.00	6.00	5.00	5.00
sports_47	bike	3.00	1.00	3.00	3.00	1.00	2.00	1.00	1.00	1.00	4.00	1.00	1.00	3.00	1.00	4.00	1.00	2.00	3.00	1.00	1.00	0.00	3.00	2.00	2.00	0.00	2.00
sports_48	bike	4.00	1.00	4.00	4.00	1.00	4.00	1.00	1.00	1.00	5.00	3.00	1.00	4.00	1.00	4.00	2.00	4.00	5.00	1.00	1.00	8.00	7.00	2.00	7.00	0.50	2.00
sports_49	bike	4.00	2.00	3.00	2.00	1.00	3.00	1.00	3.00	1.00	3.00	2.00	3.00	2.00	4.00	4.00	3.00	3.00	3.00	2.00	2.00	5.00	6.00	4.00	4.00	8.00	2.00
sports_50	sit	3.00	1.00	4.00	5.00	1.00	5.00	1.00	1.00	1.00	4.00	3.00	5.00	5.00	1.00	5.00	1.00	5.00	4.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	2.00
sports_51	sit	2.00	1.00	3.00	4.00	1.00	3.00	1.00	1.00	1.00	3.00	2.00	1.00	2.00	1.00	2.00	1.00	3.00	2.00	1.00	1.00	2.00	0.00	0.00	1.50	1.50	2.00
sports_52	sit	2.00	1.00	3.00	2.00	1.00	1.00	1.00	1.00	1.00	4.00	1.00	1.00	4.00	1.00	2.00		3.00	3.00	1.00	1.00	3.50	0.00	6.00	2.00	0.00	2.00
sports_53	sit	2.00	1.00	3.00	2.00	1.00	1.00	1.00	1.00	1.00	4.00	1.00	1.00	4.00	1.00	2.00		3.00	3.00	1.00	1.00	3.50	0.00	6.00	2.00	0.00	2.00
sports_54	sit	3.00	1.00	4.00	4.00	1.00	3.00	1.00	1.00	1.00	4.00	2.00	1.00	3.00	1.00	3.00	1.00	3.00	3.00	1.00	1.00	1.50	0.00	0.00	0.00	0.00	99.00
sports_55	sit	1.00	1.00	4.00	2.00	1.00	2.00	1.00	1.00	1.00	3.00	2.00	1.00	4.00	1.00	2.00	1.00	3.00	2.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	2.00
sports_56	sit	4.00	1.00	5.00	5.00	1.00	5.00	1.00	1.00	1.00	4.00	4.00	1.00	5.00	1.00	5.00	1.00	5.00	4.00	1.00	1.00	0.50	0.00	0.00	0.00	0.00	2.00
sports_57	sit	1.00	1.00	4.00	2.00	1.00	1.00	1.00	1.00	1.00	2.00	1.00	2.00	3.00	1.00	3.00	2.00	2.00	3.00	2.00	2.00	5.00	1.00	0.50	0.50	0.50	2.00
