ID	Group	sex	age	yot	regular	panas-p	panas-n	tlx-2	tlx-4	recall_pre	recall_post	recall_pre1	recall_pre2	recall_post3	recall_post4	perc_recall_pre	perc_recall_post	perc_recall_pre1	perc_recall_pre2	perc_recall_post3	perc_recall_post4	instrusions_pre	intrusions_post	instrusions_pre1	instrusions_pre2	intrusions_post3	intrusions_post4	accuracy_pre	accuracy_post	accuracy_pre1	accuracy_pre2	accuracy_pre3	accuracy_pre4	d_prime_pre	d_prime_post	d_prime_pre1	d_prime_pre2	d_prime_post3	d_prime_post4	RT_pre	RT_post	RT_pre1	RT_pre2	RT_post3	RT_post4
sports_01	swim	m	24	4	3	3.7	0.9	2.0	2.0	15	25	10	5	11	14	20.83	34.72	10	5	11	14	2	1	1	1	1	0	0.88	0.80	0.87	0.89	0.73	0.87	2.33	1.78	2.13	2.53	1.32	2.25	532	454	552	512	504	404
sports_02	swim	f	32	10	2	2.9	1.3	4.0	4.5	14	13	3	11	7	6	19.44	18.06	3	11	7	6	2	5	0	2	1	4	0.93	0.91	0.95	0.91	0.86	0.96	2.87	2.79	3.19	2.55	2.15	3.43	588	562	596	580	576	548
sports_03	swim	f	28	22	3	3.4	1.1	6.5	3.0	29	33	14	15	17	16	40.28	45.83	14	15	17	16	2	1	2	0	1	0	0.82	0.70	0.90	0.74	0.81	0.60	2.61	1.94	2.87	2.35	2.36	1.53	502	465	496	508	436	494
sports_05	swim	f	19	10	5	2.7	1.1	3.5	3.5	16	11	10	6	4	6	22.22	13.89	10	6	4	6	7	4	3	4	1	3	0.94	0.93	0.96	0.93	0.91	0.95	3.21	3.01	3.60	2.83	2.74	3.28	410	410	396	424	396	424
sports_06	swim	f	19	13	3	3.6	0.9	6.5	6.0	32	19	14	18	8	11	44.44	26.39	14	18	8	11	0	0	0	0	0	0	0.99			0.99			4.37	0.00		4.37	0.00	0.00	388		396	380		
sports_07	swim	m	30	20	10	3.7	1	1.5	0.5	15	14	9	6	9	5	20.83	19.44	9	6	9	5	1	1	1	0	1	0	0.71	0.75	0.78	0.65	0.72	0.78	1.61	2.04	1.95	1.26	1.85	2.24	474	502	528	420	528	476
sports_08	swim	f	42	3	2	2.2	1	4.5	4.5	23	18	13	10	14	4	31.94	25.00	13	10	14	4	1	4	1	0	2	2	0.95	0.97	0.97	0.92	0.94	0.99	3.30	3.74	3.80	2.80	3.10	4.37	564	544	568	560	544	544
sports_09	swim	m	38	30	3	4.8	1.8	4.5	4.0	13	15	8	5	9	6	18.06	20.83	8	5	9	6	9	7	5	4	5	2	0.88	0.85	0.91	0.85	0.93	0.77	2.78	2.62	3.17	2.39	3.33	1.92	506	491	492	520	504	478
sports_10	swim	f	21	15	3	3.2	1.1	5.0	7.5	26	19	13	13	10	9	36.11	26.39	13	13	10	9	0	2	0	0	2	0	0.89	0.92	0.92	0.86	0.91	0.93	2.57	2.99	3.09	2.04	2.82	3.16	295	275	304	286	268	282
sports_11	swim	f	18	12	5	2.5	1.3	1.5	1.5	19	16	11	8	8	8	26.39	22.22	11	8	8	8	6	7	1	5	4	3	0.79	0.90	0.76	0.81	0.88	0.92	1.50	2.72	1.35	1.66	2.72	2.72	316	347	320	312	316	378
