ID	Group	Total	Total_percent	per_block_1	per_block_2	per_block_3	per_block_4	per_list_1	per_list_2	per_list_3	per_list_4	mean_pre	mean_post
sports_01	swim	40.00	27.78	27.78	13.89	30.56	38.89	13.89	30.56	38.89	27.78	20.83	34.72222222
sports_02	swim	27.00	18.75	8.33	30.56	19.44	16.67	8.33	30.56	19.44	16.67	19.44	18.05555556
sports_03	swim	62.00	43.06	38.89	41.67	47.22	44.44	44.44	38.89	41.67	47.22	40.28	45.83333333
sports_05	swim	26.00	18.06	27.78	16.67	11.11	16.67	16.67	11.11	16.67	27.78	22.22	13.88888889
sports_06	swim	51.00	35.42	38.89	50.00	22.22	30.56	22.22	50.00	38.89	30.56	44.44	26.38888889
sports_07	swim	29.00	20.14	25.00	16.67	25.00	13.89	25.00	25.00	13.89	16.67	20.83	19.44444444
sports_08	swim	41.00	28.47	36.11	27.78	38.89	11.11	38.89	36.11	11.11	27.78	31.94	25
sports_09	swim	28.00	19.44	22.22	13.89	25.00	16.67	13.89	22.22	16.67	25.00	18.06	20.83333333
sports_10	swim	45.00	31.25	36.11	36.11	27.78	25.00	36.11	36.11	27.78	25.00	36.11	26.38888889
sports_11	swim	35.00	24.31	30.56	22.22	22.22	22.22	22.22	30.56	22.22	22.22	26.39	22.22222222
sports_12	swim	63.00	43.75	41.67	36.11	44.44	52.78	44.44	52.78	41.67	36.11	38.89	48.61111111
sports_13	swim	27.00	18.75	30.56	22.22	8.33	13.89	8.33	13.89	30.56	22.22	26.39	11.11111111
sports_14	swim	30.00	20.83	11.11	22.22	33.33	16.67	22.22	33.33	16.67	11.11	16.67	25
sports_15	swim	15.00	10.42	16.67	8.33	8.33	8.33	8.33	8.33	16.67	8.33	12.50	8.333333333
sports_17	swim	31.00	21.53	25.00	11.11	16.67	33.33	25.00	33.33	16.67	11.11	18.06	25
sports_18	swim	45.00	31.25	13.89	30.56	41.67	38.89	30.56	13.89	38.89	41.67	22.22	40.27777778
sports_20	bike	49.00	34.03	36.11	25.00	36.11	38.89	25.00	36.11	38.89	36.11	30.56	37.5
sports_21	sit	31.00	21.53	30.56	19.44	16.67	19.44	19.44	19.44	16.67	30.56	25.00	18.05555556
sports_22	sit	45.00	31.25	33.33	30.56	33.33	27.78	27.78	33.33	30.56	33.33	31.94	30.55555556
sports_23	sit	30.00	20.83	38.89	22.22	13.89	8.33	22.22	38.89	8.33	13.89	30.56	11.11111111
sports_25	swim	30.00	20.83	22.22	25.00	11.11	25.00	25.00	11.11	22.22	25.00	23.61	18.05555556
sports_26	bike	65.00	45.14	55.56	44.44	30.56	50.00	55.56	44.44	30.56	50.00	50.00	40.27777778
sports_27	sit	35.00	24.31	27.78	22.22	36.11	11.11	27.78	36.11	22.22	11.11	25.00	23.61111111
sports_28	bike	29.00	20.14	16.67	19.44	27.78	16.67	27.78	19.44	16.67	16.67	18.06	22.22222222
sports_30	sit	48.00	33.33	25.00	27.78	44.44	36.11	25.00	36.11	44.44	27.78	26.39	40.27777778
sports_31	bike	37.00	25.69	19.44	36.11	25.00	22.22	25.00	19.44	36.11	22.22	27.78	23.61111111
sports_32	sit	21.00	14.58	11.11	11.11	19.44	16.67	19.44	16.67	11.11	11.11	11.11	18.05555556
sports_33	sit	21.00	14.58	11.11	22.22	13.89	11.11	13.89	11.11	11.11	22.22	16.67	12.5
sports_34	bike	28.00	19.44	25.00	11.11	13.89	27.78	27.78	11.11	13.89	25.00	18.06	20.83333333
sports_35	bike	28.00	19.44	19.44	19.44	16.67	22.22	22.22	19.44	16.67	19.44	19.44	19.44444444
sports_36	bike	54.00	37.50	38.89	33.33	36.11	41.67	38.89	41.67	36.11	33.33	36.11	38.88888889
sports_37	bike	31.00	21.53	22.22	19.44	27.78	16.67	16.67	22.22	27.78	19.44	20.83	22.22222222
sports_39	sit	32.00	22.22	38.89	27.78	13.89	8.33	38.89	27.78	13.89	8.33	33.33	11.11111111
sports_40	bike	44.00	30.56	27.78	22.22	33.33	38.89	27.78	22.22	33.33	38.89	25.00	36.11111111
sports_41	bike	103.00	71.53	55.56	75.00	75.00	80.56	80.56	55.56	75.00	75.00	65.28	77.77777778
sports_42	bike	57.00	39.58	41.67	38.89	44.44	33.33	44.44	33.33	41.67	38.89	40.28	38.88888889
sports_43	bike	22.00	15.28	22.22	19.44	11.11	8.33	11.11	8.33	22.22	19.44	20.83	9.722222222
sports_44	bike	64.00	44.44	25.00	38.89	44.44	69.44	38.89	44.44	69.44	25.00	31.94	56.94444444
sports_45	bike	46.00	31.94	30.56	41.67	25.00	30.56	25.00	41.67	30.56	30.56	36.11	27.77777778
sports_46	bike	36.00	25.00	36.11	27.78	16.67	19.44	27.78	36.11	19.44	16.67	31.94	18.05555556
sports_47	bike	76.00	52.78	47.22	38.89	55.56	69.44	47.22	69.44	55.56	38.89	43.06	62.5
sports_48	bike	54.00	37.50	30.56	38.89	30.56	50.00	38.89	30.56	50.00	30.56	34.72	40.27777778
sports_49	bike	26.00	18.06	13.89	27.78	16.67	13.89	27.78	13.89	13.89	16.67	20.83	15.27777778
